62500									
0	0	1	1	1	352.43264	117.6311	49.005653	0.971	0
0.1	0	1	1	1	352.43264	117.6311	49.005653	0.971	0
0.2	0	1	1	1	220.37217	96.584068	194.23269	0.971	0
0.3	0	1	1	1	220.37733	96.641364	194.07341	0.971	0
0.4	0	1	1	1	308.69534	75.702622	6.7374107	0.971	0
0.5	0	1	1	1	220.36702	96.527919	194.39255	0.971	0
0.6	0	1	1	1	308.69534	75.702622	6.7385566	0.971	0
0.7	0	1	1	1	308.69534	75.702622	6.7374107	0.971	0
0.8	0	1	1	1	220.36702	96.527919	194.39255	0.971	0
0.9	0	1	1	1	308.69534	75.702622	6.7385566	0.971	0
1	0	1	1	1	308.54121	77.15908	8.2345494	0.971	0
1.1	0	1	1	1	308.54178	77.167675	8.2167877	0.971	0
1.2	0	1	1	1	128.54251	102.82988	351.78864	0.971	0
1.3	0	1	1	1	220.37733	98.004431	192.95786	0.971	0
1.4	0	1	1	1	308.54178	77.167675	8.2167877	0.971	0
1.5	0	1	1	1	128.54251	102.82988	351.78864	0.971	0
1.6	0	1	1	1	220.37733	98.004431	192.95786	0.971	0
1.7	0	1	1	1	220.37676	98.003285	192.95786	0.971	0
1.8	0	1	1	1	128.54251	102.82931	351.79093	0.971	0
1.9	0	1	1	1	220.68845	98.475402	192.47658	0.971	0
2	0	1	1	1	308.82024	77.662137	8.6780188	0.971	0
2.1	0	1	1	1	220.68845	98.476548	192.476	0.971	0
2.2	0	1	1	1	220.68845	98.475402	192.47658	0.971	0
2.3	0	1	1	1	308.82024	77.662137	8.6780188	0.971	0
2.4	0	1	1	1	220.68845	98.476548	192.476	0.971	0
2.5	0	1	1	1	309.66249	78.139984	8.7656813	0.971	0
2.6	0	1	1	1	221.47798	98.576816	191.99644	0.971	0
2.7	0	1	1	1	221.47798	98.576243	191.99644	0.971	0
2.8	0	1	1	1	309.66249	78.139984	8.7656813	0.971	0
2.9	0	1	1	1	221.47798	98.576816	191.99644	0.971	0
3	0	1	1	1	221.47798	98.576243	191.99644	0.971	0
3.1	0	1	1	1	309.66363	78.138838	8.7651083	0.971	0
3.2	0	1	1	1	221.48199	98.574524	192.00503	0.971	0
3.3	0	1	1	1	129.45294	104.03768	350.80086	0.971	0
3.4	0	1	1	1	163.1801	16.733232	147.40772	0.971	0
3.5	0	1	1	1	163.17666	16.732086	147.41173	0.971	0
3.6	0	1	1	1	129.45294	104.03768	350.80086	0.971	0
3.7	0	1	1	1	163.1801	16.733232	147.40772	0.971	0
3.8	0	1	1	1	163.17666	16.732086	147.41173	0.971	0
3.9	0	1	1	1	129.45351	104.03825	350.80258	0.971	0
4	0	1	1	1	163.17609	16.732659	147.41287	0.971	0
4.1	0	1	1	1	163.17208	16.731514	147.41688	0.971	0
4.2	0	1	1	1	129.45466	104.03825	350.80831	0.971	0
4.3	0	1	1	1	163.11707	16.720627	147.47132	0.971	0
4.4	0	1	1	1	221.14624	97.370167	195.9063	0.971	0
4.5	0	1	1	1	221.14567	97.369594	195.90745	0.971	0
4.6	0	1	1	1	221.0179	97.344383	196.20481	0.971	0
4.7	0	1	1	1	221.14624	97.370167	195.9063	0.971	0
4.8	0	1	1	1	221.14567	97.369594	195.90745	0.971	0
4.9	0	1	1	1	308.4461	73.120874	7.6083066	0.971	0
5	0	1	1	1	308.44553	73.120301	7.6083066	0.971	0
5.1	0	1	1	1	308.44553	73.120874	7.6083066	0.971	0
5.2	0	1	1	1	308.4461	73.120874	7.6083066	0.971	0
5.3	0	1	1	1	308.44553	73.120301	7.6083066	0.971	0
5.4	0	1	1	1	308.44553	73.120874	7.6083066	0.971	0
5.5	0	1	1	1	308.44553	73.120874	7.6077336	0.971	0
5.6	0	1	1	1	308.44438	73.119728	7.6065877	0.971	0
5.7	0	1	1	1	308.44381	73.119728	7.602577	0.971	0
5.8	0	1	1	1	308.44381	73.120874	7.5928367	0.971	0
5.9	0	1	1	1	221.00128	98.905693	194.21436	0.971	0
6	0	1	1	1	221.00128	98.906266	194.20691	0.971	0
6.1	0	1	1	1	221.00128	98.906839	194.20576	0.971	0
6.2	0	1	1	1	221.00128	98.905693	194.21436	0.971	0
6.3	0	1	1	1	221.00128	98.906266	194.20691	0.971	0
6.4	0	1	1	1	221.00128	98.906839	194.20576	0.971	0
6.5	0	1	1	1	128.75679	104.0308	350.8169	0.971	0
6.6	0	1	1	1	221.00128	98.906266	194.20462	0.971	0
6.7	0	1	1	1	128.48579	103.70651	351.67806	0.971	0
6.8	0	1	1	1	160.1715	15.994117	149.31567	0.971	0
6.9	0	1	1	1	160.16921	15.994117	149.31796	0.971	0
7	0	1	1	1	128.48579	103.70651	351.67806	0.971	0
7.1	0	1	1	1	160.1715	15.994117	149.31567	0.971	0
7.2	0	1	1	1	160.16921	15.994117	149.31796	0.971	0
7.3	0	1	1	1	220.18825	97.866348	194.06768	0.971	0
7.4	0	1	1	1	159.5464	16.032505	149.81471	0.971	0
7.5	0	1	1	1	159.25075	16.051413	150.0502	0.971	0
7.6	0	1	1	1	220.18825	97.866348	194.06768	0.971	0
7.7	0	1	1	1	219.26694	99.045495	193.07016	0.971	0
7.8	0	1	1	1	307.1197	77.031311	9.2257664	0.971	0
7.9	0	1	1	1	219.1787	98.968146	193.16241	0.971	0
8	0	1	1	1	307.08246	76.991777	9.2017022	0.971	0
8.1	0	1	1	1	219.16953	98.963562	193.17272	0.971	0
8.2	0	1	1	1	219.16839	98.964135	193.17272	0.971	0
8.3	0	1	1	1	307.08246	76.991777	9.2017022	0.971	0
8.4	0	1	1	1	219.1724	98.96127	193.17501	0.971	0
8.5	0	1	1	1	307.07902	76.988912	9.203994	0.971	0
8.6	0	1	1	1	156.76641	17.164097	151.50436	0.971	0
8.7	0	1	1	1	219.3483	98.078915	195.205	0.971	0
8.8	0	1	1	1	156.76641	17.164097	151.50436	0.971	0
8.9	0	1	1	1	219.3483	98.078915	195.205	0.971	0
9	0	1	1	1	219.34772	98.077196	195.20672	0.971	0
9.1	0	1	1	1	156.67531	17.174983	151.5926	0.971	0
9.2	0	1	1	1	335.27599	162.18315	207.26175	0.971	0
9.3	0	1	1	1	155.86343	17.48438	152.25036	0.971	0
9.4	0	1	1	1	154.91977	18.172502	153.04849	0.971	0
9.5	0	1	1	1	219.13573	98.127617	196.30966	0.971	0
9.6	0	1	1	1	154.91174	18.175367	153.05823	0.971	0
9.7	0	1	1	1	219.13573	98.127617	196.30966	0.971	0
9.8	0	1	1	1	154.91174	18.175367	153.05823	0.971	0
9.9	0	1	1	1	159.03532	17.489537	149.1369	0.971	0
10	0	1	1	1	126.96917	104.94295	350.81117	0.971	0
10.1	0	1	1	1	159.08288	17.486099	149.09565	0.971	0
10.2	0	1	1	1	126.96917	104.94295	350.81117	0.971	0
10.3	0	1	1	1	159.08288	17.486099	149.09565	0.971	0
10.4	0	1	1	1	307.00626	77.014695	10.992768	0.971	0
10.5	0	1	1	1	347.87992	163.0529	219.62504	0.971	0
10.6	0	1	1	1	307.00626	77.014695	10.992768	0.971	0
10.7	0	1	1	1	347.87992	163.0529	219.62504	0.971	0
10.8	0	1	1	1	39.499137	79.285327	76.794679	0.971	0
10.9	0	1	1	1	347.88851	163.05405	219.63535	0.971	0
11	0	1	1	1	127.29174	103.47389	349.99643	0.971	0
11.1	0	1	1	1	127.29346	103.47274	349.99757	0.971	0
11.2	0	1	1	1	127.29174	103.47389	349.99643	0.971	0
11.3	0	1	1	1	127.29346	103.47274	349.99757	0.971	0
11.4	0	1	1	1	127.43727	103.51113	350.1792	0.971	0
11.5	0	1	1	1	127.38972	103.49852	350.11904	0.971	0
11.6	0	1	1	1	39.488251	85.20971	81.751337	0.457	0
11.7	0	1	1	1	39.503148	85.283049	81.704355	0.457	0
11.8	0	1	1	1	128.74018	98.130482	264.99585	0.457	0
11.9	0	1	1	1	128.72929	98.136211	264.97923	0.457	0
12	0	1	1	1	127.10897	103.56499	350.07549	0.971	0
12.1	0	1	1	1	128.72929	98.136211	264.97923	0.429	0
12.2	0	1	1	1	128.72242	98.128763	264.97293	0.429	0
12.3	0	1	1	1	128.71554	98.121887	264.96949	0.429	0
12.4	0	1	1	1	128.69434	98.096104	264.96261	0.429	0
12.5	0	1	1	1	128.30244	97.9288	264.56956	0.429	0
12.6	0	1	1	1	128.30358	97.939687	264.56269	0.429	0
12.7	0	1	1	1	128.30244	97.9288	264.56956	0.429	0
12.8	0	1	1	1	128.30358	97.939687	264.56269	0.429	0
12.9	0	1	1	1	128.30301	97.943124	264.56097	0.429	0
13	0	1	1	1	39.387411	79.244074	75.768512	0.971	0
13.1	0	1	1	1	39.387411	79.244074	75.768512	0.971	0
13.2	0	1	1	1	355.28998	142.74728	224.52325	0.971	0
13.3	0	1	1	1	355.42062	142.79827	224.67852	0.971	0
13.4	0	1	1	1	355.37077	142.77879	224.61951	0.971	0
13.5	0	1	1	1	355.42062	142.79827	224.67852	0.971	0
13.6	0	1	1	1	303.80801	64.331128	29.370962	0.971	0
13.7	0	1	1	1	303.77707	64.307064	29.431123	0.971	0
13.8	0	1	1	1	47.540027	63.259124	61.200487	0.971	0
13.9	0	1	1	1	47.538881	63.256259	61.198768	0.971	0
14	0	1	1	1	47.540027	63.259124	61.200487	0.971	0
14.1	0	1	1	1	47.538881	63.256259	61.198768	0.971	0
14.2	0	1	1	1	303.04139	64.449731	30.866382	0.971	0
14.3	0	1	1	1	303.04483	64.461763	30.869247	0.971	0
14.4	0	1	1	1	303.04139	64.449731	30.866382	0.971	0
14.5	0	1	1	1	303.04483	64.461763	30.869247	0.971	0
14.6	0	1	1	1	356.96588	141.24957	227.23449	0.971	0
